site_key,name_en,unesco_id,category,criteria_display,criteria_count,countries,region,continent,latitude,longitude,inscription_year,inscription_decade,age_years,is_transboundary,is_endangered,area_hectares,has_image,components_count,geographic_type,unesco_url,description_en
monasteries_of_haghpat_and_sanahin,Monasteries of Haghpat and Sanahin,777,Cultural,(ii)(iv),2,ARM,Europe and North America,Europe,,,1996,1990s,29,False,False,2.65,True,3,Cultural Landscape,https://whc.unesco.org/en/list/777,"These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian regi"
greater_blue_mountains_area,Greater Blue Mountains Area,917,Natural,(ix)(x),2,AUS,Asia and the Pacific,Unknown,,,2000,2000s,25,False,False,1032649,True,1,Mountain,https://whc.unesco.org/en/list/917,"The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and eco"
monastery_of_geghard_and_the_upper_azat_valley,Monastery of Geghard and the Upper Azat Valley,960,Cultural,(ii),1,ARM,Europe and North America,Europe,,,2000,2000s,25,False,False,2.7,True,1,Mountain,https://whc.unesco.org/en/list/960,"The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley."
australian_fossil_mammal_sites_riversleigh_naracoorte,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),698,Natural,(viii)(ix),2,AUS,Asia and the Pacific,Unknown,,,1994,1990s,31,False,False,10326,True,7,River/Valley,https://whc.unesco.org/en/list/698,"Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world’s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia’s unique fauna."
australian_convict_sites,Australian Convict Sites,1306,Cultural,(iv),1,AUS,Asia and the Pacific,Unknown,,,2010,2010s,15,False,False,1502.51,True,11,Coastal,https://whc.unesco.org/en/list/1306,"The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18th and 19th centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868"
kakadu_national_park,Kakadu National Park,147,Mixed,(i)(vii)(ix)(x),4,AUS,Asia and the Pacific,Unknown,,,1981,1980s,44,False,False,1980994.92,True,3,Cultural Landscape,https://whc.unesco.org/en/list/147,"This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region’s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a"
great_barrier_reef,Great Barrier Reef,154,Natural,(vii)(viii)(ix)(x),4,AUS,Asia and the Pacific,Unknown,,,1981,1980s,44,False,False,34870000,True,1,Coastal,https://whc.unesco.org/en/list/154,"The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction."
paraty_and_ilha_grande_culture_and_biodiversity,Paraty and Ilha Grande – Culture and Biodiversity,1308,Mixed,(v)(x),2,BRA,Latin America and the Caribbean,Americas,,,2019,2010s,6,False,False,173164.18,True,6,Mountain,https://whc.unesco.org/en/list/1308,"This natural-cultural landscape encompasses the historic centre of Paraty, one of Brazil's best-preserved coastal towns, four Brazilian Atlantic Forest protected natural areas, one of the world’s five key biodiversity hotspots, as well as part of the Serra da Bocaina mountain range and the Atlantic coastal region. Serra do Mar and Ilha Grande Bay is home to an impressive diversity of animal species, some of which are threatened, such as the jaguar (Panthera onca), the white-lipped peccary (Tayas"
ningaloo_coast,Ningaloo Coast,1369,Natural,(vii)(x),2,AUS,Asia and the Pacific,Unknown,,,2011,2010s,14,False,False,705015,True,1,Coastal,https://whc.unesco.org/en/list/1369,"The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial "
lord_howe_island_group,Lord Howe Island Group,186,Natural,(vii)(x),2,AUS,Asia and the Pacific,Unknown,,,1982,1980s,43,False,False,146300,True,1,Coastal,https://whc.unesco.org/en/list/186,"A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds."
shark_bay_western_australia,"Shark Bay, Western Australia",578,Natural,(vii)(viii)(ix)(x),4,AUS,Asia and the Pacific,Unknown,,,1991,1990s,34,False,False,2200902,True,1,Coastal,https://whc.unesco.org/en/list/578,"At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (‘sea cow’) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals."
sydney_opera_house,Sydney Opera House,166,Cultural,(i),1,AUS,Asia and the Pacific,Unknown,,,2007,2000s,18,False,False,5.8,True,1,Urban,https://whc.unesco.org/en/list/166,"Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted ‘shells’ which roof two main performance hall"
royal_exhibition_building_and_carlton_gardens,Royal Exhibition Building and Carlton Gardens,1131,Cultural,(ii),1,AUS,Asia and the Pacific,Unknown,,,2004,2000s,21,False,False,26,True,1,Cultural Landscape,https://whc.unesco.org/en/list/1131,"The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues"
wet_tropics_of_queensland,Wet Tropics of Queensland,486,Natural,(vii)(viii)(ix)(x),4,AUS,Asia and the Pacific,Unknown,,,1988,1980s,37,False,False,893453,True,14,Coastal,https://whc.unesco.org/en/list/486,"This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species."
prehistoric_pile_dwellings_around_the_alps,Prehistoric Pile Dwellings around the Alps,1363,Cultural,(iv)(v),2,"ITA, FRA, AUT, SVN, CHE, DEU",Europe and North America,Europe,,,2011,2010s,14,True,False,274.2,True,111,Mountain,https://whc.unesco.org/en/list/1363,"This serial property of 111 small individual sites encompasses the remains of prehistoric pile-dwelling (or stilt house) settlements in and around the Alps built from around 5000 to 500 B.C. on the edges of lakes, rivers or wetlands. Excavations, only conducted in some of the sites, have yielded evidence that provides insight into life in prehistoric times during the Neolithic and Bronze Age in Alpine Europe and the way communities interacted with their environment. Fifty-six of the sites are lo"
wachau_cultural_landscape,Wachau Cultural Landscape,970,Cultural,(ii)(iv),2,AUT,Europe and North America,Europe,,,2000,2000s,25,False,False,18462,True,1,Urban,https://whc.unesco.org/en/list/970,"The Wachau is a stretch of the Danube Valley between Melk and Krems, a landscape of high visual quality. It preserves in an intact and visible form many traces - in terms of architecture, (monasteries, castles, ruins), urban design, (towns and villages), and agricultural use, principally for the cultivation of vines - of its evolution since prehistoric times."
cultural_landscape_of_khinalig_people_and_koc_yolu_transhumance_route,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,1696,Cultural,(iii)(v),2,AZE,Europe and North America,Europe,,,2023,2020s,2,False,False,44829.41,True,1,Mountain,https://whc.unesco.org/en/list/1696,"This cultural landscape is comprised of the high-mountain Khinalig village in northern Azerbaijan, high-altitude summer pastures and agricultural terraces in the Greater Caucasus Mountains, winter pastures in the lowland plains in central Azerbaijan, and the connecting 200-kilometre-long seasonal transhumance route called Köç Yolu (“Migration Route”). The village of Khinalig is home to the semi-nomadic Khinalig people, whose culture and lifestyle are defined by the seasonal migration between sum"
pearling_testimony_of_an_island_economy,"Pearling, Testimony of an Island Economy",1364,Cultural,(iii),1,BHR,Arab States,Asia,,,2012,2010s,13,False,False,35086.81,True,20,Coastal,https://whc.unesco.org/en/list/1364,"The site consists of seventeen buildings in Muharraq City, three offshore oyster beds, part of the seashore and the Qal’at Bu Mahir fortress on the southern tip of Muharraq Island, from where boats used to set off for the oyster beds. The listed buildings include residences of wealthy merchants, shops, storehouses and a mosque. The site is the last remaining complete example of the cultural tradition of pearling and the wealth it generated at a time when the trade dominated the Gulf economy (2nd"
historic_centre_of_sheki_with_the_khans_palace,Historic Centre of Sheki with the Khan’s Palace,1549,Cultural,(ii)(v),2,AZE,Europe and North America,Europe,,,2019,2010s,6,False,False,120.5,True,1,Mountain,https://whc.unesco.org/en/list/1549,"The historic city of Sheki is located at the foot of the Greater Caucasus Mountains and divided in two by the Gurjana River. While the older northern part is built on the mountain, its southern part extends into the river valley. Its historic centre, rebuilt after the destruction of an earlier town by mudflows in the 18th century, is characterized by a traditional architectural ensemble of houses with high gabled roofs. Located along important historic trade routes, the city's architecture is in"
fujian_em_tulou_em,Fujian <em>Tulou</em>,1113,Cultural,(iii)(iv)(v),3,CHN,Asia and the Pacific,Unknown,,,2008,2000s,17,False,False,152.65,True,10,Urban,https://whc.unesco.org/en/list/1113,"Fujian Tulou is a property of 46 buildings constructed between the 15th and 20th centuries over 120 km in south-west of Fujian province, inland from the Taiwan Strait. Set amongst rice, tea and tobacco fields the Tulou are earthen houses. Several storeys high, they are built along an inward-looking, circular or square floor plan as housing for up to 800 people each. They were built for defence purposes around a central open courtyard with only one entrance and windows to the outside only above t"
walled_city_of_baku_with_the_shirvanshah_s_palace_and_maiden_tower,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,958,Cultural,(iv),1,AZE,Europe and North America,Europe,,,2000,2000s,25,False,False,21.5,True,1,Urban,https://whc.unesco.org/en/list/958,"Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture"
the_sundarbans,The Sundarbans,798,Natural,(ix)(x),2,BGD,Asia and the Pacific,Unknown,,,1997,1990s,28,False,False,139500,True,3,Coastal,https://whc.unesco.org/en/list/798,"The Sundarbans mangrove forest, one of the largest such forests in the world (140,000 ha), lies on the delta of the Ganges, Brahmaputra and Meghna rivers on the Bay of Bengal. It is adjacent to the border of India’s Sundarbans World Heritage site inscribed in 1987. The site is intersected by a complex network of tidal waterways, mudflats and small islands of salt-tolerant mangrove forests, and presents an excellent example of ongoing ecological processes. The area is known for its wide range of "
qalat_al_bahrain_ancient_harbour_and_capital_of_dilmun,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,1192,Cultural,(ii)(iii)(iv),3,BHR,Arab States,Asia,,,2005,2000s,20,False,False,70.4,True,2,Cultural Landscape,https://whc.unesco.org/en/list/1192,"Qal’at al-Bahrain is a typical tell – an artificial mound created by many successive layers of human occupation. The strata of the 300 × 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site has been excavated, revealing structures of different types: residential, public, commercial, religious and military. They testify to the importance of the site, a trading port, over the centuries. On the top of the 12 m mound there is the impressive"
belfries_of_belgium_and_france,Belfries of Belgium and France,943,Cultural,(ii)(iv),2,"FRA, BEL",Europe and North America,Europe,,,1999,1990s,26,True,False,0,True,56,Urban,https://whc.unesco.org/en/list/943,"Twenty-three belfries in the north of France and the belfry of Gembloux in Belgium were inscribed in 2005, as an extension to the 32 Belgian belfries inscribed in 1999 as Belfries of Flanders and Wallonia. Built between the 11th and 17th centuries, they showcase the Roman, Gothic, Renaissance and Baroque styles of architecture. They are highly significant tokens of the winning of civil liberties. While Italian, German and English towns mainly opted to build town halls, in part of north-western E"
koutammakou_the_land_of_the_batammariba,"Koutammakou, the Land of the Batammariba",1140,Cultural,(v),1,"TGO, BEN",Africa,Africa,,,2004,2000s,21,True,False,271826,True,1,Forest,https://whc.unesco.org/en/list/1140,"The Koutammakou landscape in north-eastern Togo and neighbouring Benin is home to the Batammariba, whose remarkable mud tower-houses are known as takienta (sikien in the plural). Nature is strongly associated with the rituals and beliefs of society here. The landscape is exceptional due to the architecture of the tower-houses which reflect the social structure; its farmland and forest; and the associations between people and landscape. The buildings are grouped in villages, which also include ce"
neolithic_flint_mines_at_spiennes_mons,Neolithic Flint Mines at Spiennes (Mons),1006,Cultural,(i)(iii)(iv),3,BEL,Europe and North America,Europe,,,2000,2000s,25,False,False,172,True,1,Cultural Landscape,https://whc.unesco.org/en/list/1006,"The Neolithic flint mines at Spiennes, covering more than 100 ha, are the largest and earliest concentration of ancient mines in Europe. They are also remarkable for the diversity of technological solutions used for extraction and for the fact that they are directly linked to a settlement of the same period."
the_four_lifts_on_the_canal_du_centre_and_their_environs_la_louviere_and_le_roeulx_hainaut,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",856,Cultural,(iii)(iv),2,BEL,Europe and North America,Europe,,,1998,1990s,27,False,False,67.3436,True,1,Cultural Landscape,https://whc.unesco.org/en/list/856,"The four hydraulic boat-lifts on this short stretch of the historic Canal du Centre are industrial monuments of the highest quality. Together with the canal itself and its associated structures, they constitute a remarkably well-preserved and complete example of a late-19th-century industrial landscape. Of the eight hydraulic boat-lifts built at the end of the 19th and beginning of the 20th century, the only ones in the world which still exist in their original working condition are these four l"
stoclet_house,Stoclet House,1298,Cultural,(i)(ii),2,BEL,Europe and North America,Europe,,,2009,2000s,16,False,False,0.86,True,1,Cultural Landscape,https://whc.unesco.org/en/list/1298,"When banker and art collector Adolphe Stoclet commissioned this house from one of the leading architects of the Vienna Secession movement, Josef Hoffmann, in 1905, he imposed neither aesthetic nor financial restrictions on the project. The house and garden were completed in 1911 and their austere geometry marked a turning point in Art Nouveau, foreshadowing Art Deco and the Modern Movement in architecture. Stoclet House is one of the most accomplished and homogenous buildings of the Vienna Seces"
jesuit_missions_of_the_chiquitos,Jesuit Missions of the Chiquitos,529,Cultural,(iv)(v),2,BOL,Latin America and the Caribbean,Americas,,,1990,1990s,35,False,False,0,True,6,Cultural Landscape,https://whc.unesco.org/en/list/529,"Between 1696 and 1760, six ensembles of reducciones (settlements of Christianized Indians) inspired by the ‘ideal cities’ of the 16th-century philosophers were founded by the Jesuits in a style that married Catholic architecture with local traditions. The six that remain – San Francisco Javier, Concepción, Santa Ana, San Miguel, San Rafael and San José – make up a living heritage on the former territory of the Chiquitos."
mehmed_pasa_sokolovic_bridge_in_visegrad,Mehmed Paša Sokolović Bridge in Višegrad,1260,Cultural,(ii)(iv),2,BIH,Europe and North America,Europe,,,2007,2000s,18,False,False,1.5,True,1,River/Valley,https://whc.unesco.org/en/list/1260,"The Mehmed Paša Sokolović Bridge of Višegrad across the Drina River in the east of Bosnia and Herzegovina was built at the end of the 16th century by the court architect Mimar Koca Sinan on the orders of Grand Vizier Mehmed Paša Sokolović. Characteristic of the apogee of Ottoman monumental architecture and civil engineering, the bridge has 11 masonry arches with spans of 11 m to 15 m, and an access ramp at right angles with four arches on the left bank of the river. The 179.5 m long bridge is a "
tsodilo,Tsodilo,1021,Cultural,(i)(iii),2,BWA,Africa,Africa,,,2001,2000s,24,False,False,4800,True,1,Desert,https://whc.unesco.org/en/list/1021,"With one of the highest concentrations of rock art in the world, Tsodilo has been called the ''Louvre of the Desert''. Over 4,500 paintings are preserved in an area of only 10 km2 of the Kalahari Desert. The archaeological record of the area gives a chronological account of human activities and environmental changes over at least 100,000 years. Local communities in this hostile environment respect Tsodilo as a place of worship frequented by ancestral spirits."
vjetrenica_cave_ravno,"Vjetrenica Cave, Ravno",1673,Natural,(x),1,BIH,Europe and North America,Europe,,,2024,2020s,1,False,False,413.97,True,1,Mountain,https://whc.unesco.org/en/list/1673,"Located in the Dinaric mountain range, the property stands out with its remarkable cave biodiversity and endemicity. Known since antiquity, the well-conserved representation of karst topography is one of the world’s most important biodiversity hotspots for cave-dwelling fauna, notably subterranean aquatic fauna. It is home to a number of globally threatened vertebrate species, and the only subterranean tubeworm in the world, as well as a diversity of plant species endemic to the Balkans. Additio"
brasilia,Brasilia,445,Cultural,(i)(iv),2,BRA,Latin America and the Caribbean,Americas,,,1987,1980s,38,False,False,11268.92,True,1,Urban,https://whc.unesco.org/en/list/445,"Brasilia, a capital created ex nihilo in the centre of the country in 1956, was a landmark in the history of town planning. Urban planner Lucio Costa and architect Oscar Niemeyer intended that every element – from the layout of the residential and administrative districts (often compared to the shape of a bird in flight) to the symmetry of the buildings themselves – should be in harmony with the city’s overall design. The official buildings, in particular, are innovative and imaginative."
brazilian_atlantic_islands_fernando_de_noronha_and_atol_das_rocas_reserves,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,1000,Natural,(vii)(ix)(x),3,BRA,Latin America and the Caribbean,Americas,,,2001,2000s,24,False,False,43270,True,2,Mountain,https://whc.unesco.org/en/list/1000,"Peaks of the Southern Atlantic submarine ridge form the Fernando de Noronha Archipelago and Rocas Atoll off the coast of Brazil. They represent a large proportion of the island surface of the South Atlantic and their rich waters are extremely important for the breeding and feeding of tuna, shark, turtle and marine mammals. The islands are home to the largest concentration of tropical seabirds in the Western Atlantic. Baia de Golfinhos has an exceptional population of resident dolphin and at low "
discovery_coast_atlantic_forest_reserves,Discovery Coast Atlantic Forest Reserves,892,Natural,(ix)(x),2,BRA,Latin America and the Caribbean,Americas,,,1999,1990s,26,False,False,111930,True,8,Coastal,https://whc.unesco.org/en/list/892,"The Discovery Coast Atlantic Forest Reserves, in the states of Bahia and Espírito Santo, consist of eight separate protected areas containing 112,000 ha of Atlantic forest and associated shrub (restingas). The rainforests of Brazil’s Atlantic coast are the world’s richest in terms of biodiversity. The site contains a distinct range of species with a high level of endemism and reveals a pattern of evolution that is not only of great scientific interest but is also of importance for conservation."
historic_centre_of_the_town_of_olinda,Historic Centre of the Town of Olinda,189,Cultural,(ii)(iv),2,BRA,Latin America and the Caribbean,Americas,,,1982,1980s,43,False,False,190.9,True,1,Urban,https://whc.unesco.org/en/list/189,"Founded in the 16th century by the Portuguese, the town’s history is linked to the sugar-cane industry. Rebuilt after being looted by the Dutch, its basic urban fabric dates from the 18th century. The harmonious balance between the buildings, gardens, 20 Baroque churches, convents and numerous small passos (chapels) all contribute to Olinda’s particular charm."
historic_centre_of_the_town_of_goias,Historic Centre of the Town of Goiás,993,Cultural,(ii)(iv),2,BRA,Latin America and the Caribbean,Americas,,,2001,2000s,24,False,False,40.3,True,1,Urban,https://whc.unesco.org/en/list/993,"Goiás testifies to the occupation and colonization of the lands of central Brazil in the 18th and 19th centuries. The urban layout is an example of the organic development of a mining town, adapted to the conditions of the site. Although modest, both public and private architecture form a harmonious whole, thanks to the coherent use of local materials and vernacular techniques."
pantanal_conservation_area,Pantanal Conservation Area,999,Natural,(vii)(ix)(x),3,BRA,Latin America and the Caribbean,Americas,,,2000,2000s,25,False,False,187818,True,1,River/Valley,https://whc.unesco.org/en/list/999,"The Pantanal Conservation Area consists of a cluster of four protected areas with a total area of 187,818 ha. Located in western central Brazil at the south-west corner of the State of Mato Grosso, the site represents 1.3% of Brazil's Pantanal region, one of the world's largest freshwater wetland ecosystems. The headwaters of the region's two major river systems, the Cuiabá and the Paraguay rivers, are located here, and the abundance and diversity of its vegetation and animal life are spectacula"
pampulha_modern_ensemble,Pampulha Modern Ensemble,1493,Cultural,(i)(ii)(iv),3,BRA,Latin America and the Caribbean,Americas,,,2016,2010s,9,False,False,154,True,1,Urban,https://whc.unesco.org/en/list/1493,"The Pampulha Modern Ensemble was the centre of a visionary garden city project created in 1940 at Belo Horizonte, the capital of Minas Gerais State. Designed around an artificial lake, this cultural and leisure centre included a casino, a ballroom, the Golf Yacht Club and the São Francisco de Assis church. The buildings were designed by architect Oscar Niemeyer, in collaboration with innovative artists. The Ensemble comprises bold forms that exploit the plastic potential of concrete, while fusin"
peruacu_river_canyon,Peruaçu River Canyon,1747,Natural,(vii)(viii),2,BRA,Latin America and the Caribbean,Americas,,,2025,2020s,0,False,False,38003,True,1,Forest,https://whc.unesco.org/en/list/1747,"Located in northern Minas Gerais and featuring dramatic karst landscapes, vast caves, and rich biodiversity, the park’s horizontal cave systems, formed in carbonate rock, reveal striking speleothems, collapsed dolines, limestone arches, and underground rivers. Developed in the stable São Francisco craton, the landscape reflects major climatic and geological changes from the Plio-Pleistocene. The park lies at the intersection of the Cerrado, Caatinga, and Atlantic Forest biomes, supporting over 2"
rio_de_janeiro_carioca_landscapes_between_the_mountain_and_the_sea,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,1100,Cultural,(v),1,BRA,Latin America and the Caribbean,Americas,,,2012,2010s,13,False,False,7248.78,True,4,Mountain,https://whc.unesco.org/en/list/1100,"The site consists of an exceptional urban setting encompassing the key natural elements that have shaped and inspired the development of the city: from the highest points of the Tijuca National Park’s mountains down to the sea. They also include the Botanical Gardens, established in 1808, Corcovado Mountain with its celebrated statue of Christ, and the hills around Guanabara Bay, including the extensive designed landscapes along Copacabana Bay which have contributed to the outdoor living culture"
